Area, MajorAxisLength, MinorAxisLength, Eccentricity, ConvexArea, FilledArea, EulerNumber, EquivDiameter, Solidity, Perimeter, Intensity, X, Y, IsTopEdge, IsBottomEdge, IsLeftEdge, IsRightEdge, IsNucleus, IsOverSeg, IsUnderSeg, 
339, 2.431426e+01, 1.793164e+01, 6.753528e-01, 351, 339, 1, 2.077566e+01, 9.658120e-01, 6.852691e+01, 2.826795e+00, 1.095015e+02, 9.407404e+02, 0, 0, 0, 0, 1, 0, 0, 
497, 3.601365e+01, 1.780314e+01, 8.692662e-01, 523, 497, 1, 2.515552e+01, 9.502868e-01, 9.725483e+01, 1.942107e+00, 1.176278e+02, 6.533300e+02, 0, 0, 0, 0, 1, 0, 0, 
420, 2.541190e+01, 2.126063e+01, 5.477520e-01, 434, 420, 1, 2.312489e+01, 9.677419e-01, 7.594113e+01, 3.255650e+00, 1.208619e+02, 9.766405e+02, 0, 0, 0, 0, 1, 0, 0, 
402, 2.978293e+01, 1.746060e+01, 8.101216e-01, 414, 402, 1, 2.262393e+01, 9.710145e-01, 7.735534e+01, 3.209155e+00, 1.278159e+02, 4.372687e+02, 0, 0, 0, 0, 1, 0, 0, 
295, 2.453748e+01, 1.606456e+01, 7.558932e-01, 321, 295, 1, 1.938055e+01, 9.190031e-01, 6.794113e+01, 1.590524e+00, 1.470136e+02, 2.676814e+02, 0, 0, 0, 0, 1, 0, 0, 
373, 2.238065e+01, 2.139305e+01, 2.937811e-01, 378, 373, 1, 2.179262e+01, 9.867725e-01, 6.935534e+01, 2.652552e+00, 1.508579e+02, 5.879410e+02, 0, 0, 0, 0, 1, 0, 0, 
453, 2.799734e+01, 2.090216e+01, 6.652994e-01, 471, 453, 1, 2.401619e+01, 9.617834e-01, 8.701219e+01, 1.938796e+00, 1.555254e+02, 4.207263e+02, 0, 0, 0, 0, 1, 0, 0, 
376, 2.905629e+01, 1.664253e+01, 8.197170e-01, 385, 376, 1, 2.188008e+01, 9.766234e-01, 7.345584e+01, 2.171832e+00, 1.588511e+02, 3.808830e+02, 0, 0, 0, 0, 1, 0, 0, 
526, 2.796444e+01, 2.439538e+01, 4.888439e-01, 550, 526, 1, 2.587903e+01, 9.563636e-01, 8.559798e+01, 3.275853e+00, 1.593308e+02, 4.590304e+02, 0, 0, 0, 0, 1, 0, 0, 
246, 1.938913e+01, 1.639858e+01, 5.335609e-01, 260, 246, 1, 1.769794e+01, 9.461538e-01, 5.911270e+01, 7.121386e-01, 1.552439e+02, 5.223537e+02, 0, 0, 0, 0, 1, 0, 0, 
298, 2.621860e+01, 1.469406e+01, 8.281922e-01, 311, 298, 1, 1.947884e+01, 9.581994e-01, 6.818377e+01, 1.078523e+00, 1.574698e+02, 6.531342e+02, 0, 0, 0, 0, 1, 0, 0, 
399, 2.615519e+01, 1.967537e+01, 6.588723e-01, 414, 399, 1, 2.253936e+01, 9.637681e-01, 7.452691e+01, 2.775860e+00, 1.840150e+02, 4.805013e+01, 0, 0, 0, 0, 1, 0, 0, 
375, 2.463246e+01, 1.952270e+01, 6.097938e-01, 391, 375, 1, 2.185097e+01, 9.590793e-01, 7.194113e+01, 1.954238e+00, 2.001787e+02, 4.186213e+02, 0, 0, 0, 0, 1, 0, 0, 
321, 2.671664e+01, 1.539880e+01, 8.171854e-01, 336, 321, 1, 2.021657e+01, 9.553571e-01, 6.876955e+01, 1.141283e+00, 2.055327e+02, 7.154174e+02, 0, 0, 0, 0, 1, 0, 0, 
311, 2.491655e+01, 1.606153e+01, 7.645089e-01, 322, 311, 1, 1.989918e+01, 9.658385e-01, 6.652691e+01, 1.115846e+00, 2.114019e+02, 1.906656e+02, 0, 0, 0, 0, 1, 0, 0, 
26, 8.558741e+00, 4.444977e+00, 8.545620e-01, 31, 26, 1, 5.753627e+00, 8.387097e-01, 2.131371e+01, 6.363012e-02, 2.059615e+02, 4.800769e+02, 0, 0, 0, 0, 1, 0, 0, 
37, 1.317206e+01, 4.784682e+00, 9.316938e-01, 52, 37, 1, 6.863663e+00, 7.115385e-01, 3.214214e+01, 8.915846e-02, 2.127027e+02, 4.882162e+02, 0, 0, 0, 0, 1, 0, 0, 
407, 2.705734e+01, 1.922627e+01, 7.036217e-01, 414, 407, 1, 2.276419e+01, 9.830918e-01, 7.394113e+01, 2.410269e+00, 2.232359e+02, 2.923342e+02, 0, 0, 0, 0, 1, 0, 0, 
1, 1.154701e+00, 1.154701e+00, 0, 1, 1, 1, 1.128379e+00, 1, 0, 2.288853e-03, 219, 488, 0, 0, 0, 0, 0, 1, 0, 
2, 2.309401e+00, 1.154701e+00, 8.660254e-01, 2, 2, 1, 1.595769e+00, 1, 2, 4.577707e-03, 220, 4.935000e+02, 0, 0, 0, 0, 0, 1, 0, 
482, 3.280875e+01, 1.887141e+01, 8.180169e-01, 499, 482, 1, 2.477300e+01, 9.659319e-01, 8.501219e+01, 2.526741e+00, 2.321929e+02, 4.573444e+01, 0, 0, 0, 0, 1, 0, 0, 
11, 4.753223e+00, 3.278905e+00, 7.239735e-01, 12, 11, 1, 3.742410e+00, 9.166667e-01, 1.024264e+01, 2.632181e-02, 2.306364e+02, 5.356364e+02, 0, 0, 0, 0, 1, 0, 0, 
500, 2.957168e+01, 2.162558e+01, 6.820628e-01, 511, 500, 1, 2.523133e+01, 9.784736e-01, 8.242641e+01, 3.416938e+00, 2.401860e+02, 5.987360e+02, 0, 0, 0, 0, 1, 0, 0, 
576, 3.584067e+01, 2.065139e+01, 8.173087e-01, 603, 576, 1, 2.708110e+01, 9.552239e-01, 9.432590e+01, 3.542290e+00, 2.481458e+02, 6.307587e+02, 0, 0, 0, 0, 1, 0, 0, 
298, 2.303917e+01, 1.659142e+01, 6.938291e-01, 311, 298, 1, 1.947884e+01, 9.581994e-01, 6.452691e+01, 1.112612e+00, 2.457450e+02, 6.841745e+02, 0, 0, 0, 0, 1, 0, 0, 
489, 2.970014e+01, 2.103617e+01, 7.059263e-01, 505, 489, 1, 2.495224e+01, 9.683168e-01, 8.242641e+01, 2.677745e+00, 2.551554e+02, 5.100818e+01, 0, 0, 0, 0, 1, 0, 0, 
384, 2.454536e+01, 1.999399e+01, 5.800611e-01, 395, 384, 1, 2.211163e+01, 9.721519e-01, 7.135534e+01, 2.952682e+00, 2.550521e+02, 2.171641e+02, 0, 0, 0, 0, 1, 0, 0, 
496, 2.938217e+01, 2.154749e+01, 6.798485e-01, 506, 496, 1, 2.513020e+01, 9.802372e-01, 8.184062e+01, 6.944305e+00, 2.577903e+02, 1.146855e+02, 0, 0, 0, 0, 1, 0, 0, 
470, 3.004241e+01, 2.012406e+01, 7.424918e-01, 487, 470, 1, 2.446268e+01, 9.650924e-01, 8.218377e+01, 2.610437e+00, 2.596298e+02, 1.860213e+01, 1, 0, 0, 0, 1, 0, 0, 
430, 2.669591e+01, 2.059827e+01, 6.361215e-01, 445, 430, 1, 2.339857e+01, 9.662921e-01, 7.676955e+01, 2.392844e+00, 2.627628e+02, 8.447419e+02, 0, 0, 0, 0, 1, 0, 0, 
240, 2.067175e+01, 1.553351e+01, 6.598050e-01, 247, 240, 1, 1.748077e+01, 9.716599e-01, 5.979899e+01, 3.176684e+00, 2.797583e+02, 1.018108e+03, 0, 1, 0, 0, 1, 0, 0, 
370, 2.443811e+01, 1.957853e+01, 5.984674e-01, 384, 370, 1, 2.170481e+01, 9.635417e-01, 7.301219e+01, 1.280217e+00, 2.802351e+02, 1.426243e+02, 0, 0, 0, 0, 1, 0, 0, 
203, 1.916385e+01, 1.398885e+01, 6.834893e-01, 225, 203, 1, 1.607693e+01, 9.022222e-01, 5.687006e+01, 5.607385e-01, 2.987586e+02, 4.432069e+02, 0, 0, 0, 0, 1, 0, 0, 
350, 2.542244e+01, 1.834707e+01, 6.922183e-01, 377, 350, 1, 2.111004e+01, 9.283820e-01, 7.359798e+01, 1.202762e+00, 3.088886e+02, 7.952657e+02, 0, 0, 0, 0, 1, 0, 0, 
514, 3.241538e+01, 2.049550e+01, 7.747422e-01, 528, 514, 1, 2.558213e+01, 9.734848e-01, 8.604163e+01, 2.226780e+00, 3.096537e+02, 1.495914e+01, 1, 0, 0, 0, 1, 0, 0, 
392, 2.541555e+01, 1.977411e+01, 6.282246e-01, 398, 392, 1, 2.234077e+01, 9.849246e-01, 7.218377e+01, 2.628244e+00, 3.132398e+02, 6.998393e+02, 0, 0, 0, 0, 1, 0, 0, 
313, 2.160067e+01, 1.865961e+01, 5.037592e-01, 326, 313, 1, 1.996307e+01, 9.601227e-01, 6.594113e+01, 1.071015e+00, 3.137157e+02, 8.296006e+02, 0, 0, 0, 0, 1, 0, 0, 
367, 2.609978e+01, 1.825864e+01, 7.145635e-01, 379, 367, 1, 2.161664e+01, 9.683377e-01, 7.194113e+01, 2.530907e+00, 3.176458e+02, 6.701199e+02, 0, 0, 0, 0, 1, 0, 0, 
462, 2.684769e+01, 2.225079e+01, 5.595769e-01, 480, 462, 1, 2.425359e+01, 9.625000e-01, 8.018377e+01, 2.266972e+00, 3.198506e+02, 8.894048e+02, 0, 0, 0, 0, 1, 0, 0, 
